,Fungi,Viridiplantae,Unclassified,Rhizaria,Choanoflagellozoa,Metazoa,Amoebozoa,Ichthyosporia,Stramenopila
SL1993,4,0,65,0,0,0,0,0,0
SL1994,113,5,2305,0,0,0,0,0,0
SL1995,165,1,3925,0,0,0,0,0,0
SL1996,281,1,1279,1,0,0,0,0,0
SL1997,391,4,1309,0,0,0,0,0,0
SL1998,211,5,2081,1,0,0,0,0,0
SL1999,107,0,812,0,0,0,0,0,0
SL2000,150,2,1828,1,0,0,0,0,0
SL2001,139,3,1208,0,0,0,0,0,0
SL2002,142,3,2046,0,0,0,0,0,0
SL2003,119,3,986,1,0,0,0,0,0
SL2004,116,0,647,0,0,0,0,0,0
SL2005,357,6,3633,0,0,0,0,0,0
SL2006,326,2,2914,0,0,1,0,0,0
SL2007,3,1,21,0,0,0,0,0,0
SL2008,27,0,836,0,0,0,0,0,0
SL2009,106,1,1766,0,0,0,0,0,0
SL2010,8,1,62,0,0,0,0,0,0
SL2011,62,0,479,0,0,0,0,0,0
SL2012,134,6,1639,1,0,0,0,0,0
SL2013,153,2,741,0,0,0,0,0,0
SL2014,134,2,1818,0,1,0,0,0,0
SL2015,250,3,1342,0,0,0,0,0,0
SL2016,192,6,1598,0,0,0,0,0,0
SL2017,148,0,2521,0,0,0,0,0,0
SL2018,180,1,3259,0,0,0,0,0,0
SL2019,28,0,992,0,0,0,0,0,0
SL2020,193,0,892,0,0,0,0,0,0
SL2021,151,5,1647,0,0,0,0,0,0
SL2022,40,1,91,0,0,0,0,0,0
SL2023,134,0,3061,1,0,0,0,0,0
SL2024,279,5,1985,0,0,0,0,0,0
SL2025,107,2,1063,0,0,0,0,0,0
SLP2W,216,0,1845,1,0,0,0,0,0
SLPW1B,272,0,4471,1,1,0,0,0,0
SLPW3A,173,0,4881,3,0,0,0,0,0
SLPW4A,249,0,4611,0,0,0,0,0,0
SLPW5X,315,0,4203,0,0,0,0,0,0
SLPW6A,64,0,1184,0,0,0,0,0,0
SLPW7,37,0,574,0,0,0,0,0,0
SLPW8,18,0,61,0,0,0,0,0,0
