OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV643	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV644	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV645	NA	NA	NA	NA	NA	NA	NA
ASV646	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	Hormonema carpetanum
ASV647	NA	NA	NA	NA	NA	NA	NA
ASV648	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV649	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Neocatenulostroma	Neocatenulostroma germanicum
ASV650	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV651	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
ASV652	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV653	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV654	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV655	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans
ASV656	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV657	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Bensingtonia	Bensingtonia ciliata
ASV658	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella australis
ASV659	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	NA
ASV660	NA	NA	NA	NA	NA	NA	NA
ASV661	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV662	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	NA	NA
ASV663	Fungi	NA	NA	NA	NA	NA	NA
ASV664	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	NA
ASV665	Fungi	NA	NA	NA	NA	NA	NA
ASV666	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV667	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
ASV668	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	NA
ASV669	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Lapidomyces	Lapidomyces stipagrostidicola
ASV670	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV671	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Lapidomyces	Lapidomyces stipagrostidicola
ASV672	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Lapidomyces	Lapidomyces stipagrostidicola
ASV673	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV674	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	NA
ASV675	Fungi	NA	NA	NA	NA	NA	NA
ASV676	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV677	Fungi	NA	NA	NA	NA	NA	NA
ASV678	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV679	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	NA
ASV680	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV681	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidina	Bacidina ramea
ASV682	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	NA	NA
ASV683	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV684	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV685	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
ASV686	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV688	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	NA
ASV689	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV690	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neocamarosporiaceae	Neocamarosporium	Neocamarosporium salsolae
ASV691	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV692	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV694	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV695	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala dermatitidis
ASV697	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV698	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
ASV699	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV700	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV701	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV702	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV703	Fungi	Ascomycota	Sordariomycetes	Sordariales	Bombardiaceae	Ramophialophora	NA
ASV704	Fungi	Glomeromycota	NA	NA	NA	NA	NA
ASV705	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV706	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV707	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	NA	NA
ASV708	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Querciphoma	Querciphoma carteri
ASV709	Fungi	NA	NA	NA	NA	NA	NA
ASV710	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV711	Fungi	NA	NA	NA	NA	NA	NA
ASV712	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	NA
ASV713	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV714	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia africana
ASV715	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV716	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV717	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV718	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Lobosporangium	Lobosporangium transversale
ASV719	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA
ASV720	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Querciphoma	Querciphoma carteri
ASV721	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV722	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	NA	NA	NA
ASV723	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Veronaea	NA
ASV724	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neocamarosporiaceae	Neocamarosporium	NA
ASV725	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Protoparmeliopsis	Protoparmeliopsis pinguis
ASV726	Rhizaria	Haplosporidia	NA	NA	NA	NA	NA
ASV727	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV728	NA	NA	NA	NA	NA	NA	NA
ASV729	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
ASV730	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV731	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV732	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	NA
ASV733	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	NA
ASV734	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	Petrophila	NA
ASV735	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV736	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV737	Fungi	NA	NA	NA	NA	NA	NA
ASV738	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV739	Fungi	NA	NA	NA	NA	NA	NA
ASV740	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV741	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Buellia	NA
ASV743	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV744	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	Linocarpon	Linocarpon cocois
ASV745	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV746	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV747	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV748	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema	Lophiotrema rubi
ASV749	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV750	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV751	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV752	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV753	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV754	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	NA	NA
ASV755	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
ASV756	Fungi	Ascomycota	Sareomycetes	Sareales	Sareaceae	Sarea	Sarea resinae
ASV757	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV758	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV759	NA	NA	NA	NA	NA	NA	NA
ASV760	Fungi	NA	NA	NA	NA	NA	NA
ASV761	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia seriata
ASV762	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidina	Bacidina ramea
ASV763	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
ASV764	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV765	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV766	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV767	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV768	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA
ASV769	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Buellia	NA
ASV770	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium pulvericola
ASV771	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV772	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV773	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	NA	NA
ASV774	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV775	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV776	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
ASV777	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV778	NA	NA	NA	NA	NA	NA	NA
ASV779	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phialophora	NA
ASV780	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cosmospora	NA
ASV781	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV782	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV783	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV784	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria tomentoalba
ASV785	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
ASV786	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	Erythrobasidium elongatum
ASV787	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV788	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria infectoria
ASV789	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
ASV790	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV791	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV792	Fungi	NA	NA	NA	NA	NA	NA
ASV793	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV794	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV795	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Desertella	NA
ASV796	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV797	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV798	NA	NA	NA	NA	NA	NA	NA
ASV799	NA	NA	NA	NA	NA	NA	NA
ASV800	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV801	NA	NA	NA	NA	NA	NA	NA
ASV802	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV803	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	NA	NA
ASV804	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria eureka
ASV805	NA	NA	NA	NA	NA	NA	NA
ASV806	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Endosporiaceae	Gobabebomyces	Gobabebomyces vachelliae
ASV807	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV808	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV809	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV810	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta polymorpha
ASV811	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV812	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV814	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV815	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Clarireedia	Clarireedia bennettii
ASV816	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV817	Fungi	NA	NA	NA	NA	NA	NA
ASV818	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Sarocladium	Sarocladium strictum
ASV819	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	NA
ASV820	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV821	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV822	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Thyrostroma	Thyrostroma cornicola
ASV823	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV824	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV826	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dlhawksworthia	Dlhawksworthia lonicerae
ASV827	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Sarcinomyces	Sarcinomyces crustaceus
ASV828	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV829	Fungi	NA	NA	NA	NA	NA	NA
ASV830	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidina	Bacidina ramea
ASV831	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Aureoboletus	Aureoboletus mirabilis
ASV832	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	NA
ASV833	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV834	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV835	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
ASV836	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV837	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	Toxicocladosporium velox
ASV838	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV839	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Sirobasidiaceae	NA	NA
ASV840	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV841	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV842	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Pseudotaeniolina	Pseudotaeniolina globosa
ASV843	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV844	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Devriesia	NA
ASV845	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV846	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV847	NA	NA	NA	NA	NA	NA	NA
ASV848	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV849	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV850	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV851	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV852	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phialophora	Phialophora intermedia
ASV853	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	Trematosphaeria	NA
ASV854	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula mucilaginosa
ASV855	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraloratospora	Paraloratospora gahniae
ASV856	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
ASV857	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Foliophoma	Foliophoma camporesii
ASV858	NA	NA	NA	NA	NA	NA	NA
ASV859	Fungi	NA	NA	NA	NA	NA	NA
ASV860	NA	NA	NA	NA	NA	NA	NA
ASV861	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Devriesia	NA
ASV862	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV863	NA	NA	NA	NA	NA	NA	NA
ASV865	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV866	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV867	NA	NA	NA	NA	NA	NA	NA
ASV868	Fungi	NA	NA	NA	NA	NA	NA
ASV869	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV870	Fungi	NA	NA	NA	NA	NA	NA
ASV871	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV872	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina inositophila
ASV873	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
ASV874	NA	NA	NA	NA	NA	NA	NA
ASV875	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV876	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	NA
ASV877	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria rosae
ASV878	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Carbonea	Carbonea vorticosa
ASV879	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
ASV880	Fungi	NA	NA	NA	NA	NA	NA
ASV881	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Simocybe	NA
ASV882	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Parathyridaria	Parathyridaria tyrrhenica
ASV883	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV884	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV885	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus croceiaffinis
ASV886	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	NA
ASV887	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV888	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
ASV889	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terrea
ASV890	NA	NA	NA	NA	NA	NA	NA
ASV892	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV893	NA	NA	NA	NA	NA	NA	NA
ASV895	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV896	Fungi	NA	NA	NA	NA	NA	NA
ASV897	NA	NA	NA	NA	NA	NA	NA
ASV898	NA	NA	NA	NA	NA	NA	NA
ASV899	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Craterellus	Craterellus tubaeformis
ASV900	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV901	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV902	Fungi	NA	NA	NA	NA	NA	NA
ASV903	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
ASV904	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	NA	Sistotremastrum	Sistotremastrum guttuliferum
ASV905	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV906	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum candidum
ASV907	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	NA
ASV908	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
ASV909	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Devriesia	NA
ASV910	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV911	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	NA	NA
ASV912	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	NA
ASV913	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma citrinoviride
ASV914	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV915	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
ASV916	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV917	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV918	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV919	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV920	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	NA
ASV922	NA	NA	NA	NA	NA	NA	NA
ASV923	Fungi	NA	NA	NA	NA	NA	NA
ASV924	NA	NA	NA	NA	NA	NA	NA
ASV925	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV926	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV927	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV928	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV929	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria unguis-hominis
ASV930	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Oedocephalum	NA
ASV931	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora lolii
ASV932	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV933	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Mycocentrospora	NA
ASV934	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV935	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV936	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV937	NA	NA	NA	NA	NA	NA	NA
ASV938	Fungi	Ascomycota	NA	NA	NA	NA	NA
