#OTUID	taxonomy
ASV784	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Sordaria;s__Sordaria tomentoalba
ASV785	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae
ASV786	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__Erythrobasidium elongatum
ASV787	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae
ASV788	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria infectoria
ASV789	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma
ASV790	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV791	k__Fungi;p__Ascomycota
ASV792	k__Fungi;p__;c__;o__;f__;g__;s__
ASV793	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
ASV794	k__Fungi;p__Rozellomycota
ASV795	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Desertella
ASV796	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae
ASV797	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV798	k__;p__;c__;o__;f__;g__;s__
ASV799	k__;p__;c__;o__;f__;g__;s__
ASV800	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae
ASV801	k__;p__;c__;o__;f__;g__;s__
ASV802	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV803	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Neodevriesiaceae
ASV804	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria eureka
ASV805	k__;p__;c__;o__;f__;g__;s__
ASV806	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Myriangiales;f__Endosporiaceae;g__Gobabebomyces;s__Gobabebomyces vachelliae
ASV807	k__Fungi;p__Ascomycota;c__Dothideomycetes
ASV808	k__Fungi;p__Ascomycota
ASV809	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
ASV810	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;s__Coniochaeta polymorpha
ASV811	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales
ASV812	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV814	k__Fungi;p__Ascomycota
ASV815	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Clarireedia;s__Clarireedia bennettii
ASV816	k__Fungi;p__Ascomycota
ASV817	k__Fungi;p__;c__;o__;f__;g__;s__
ASV818	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__;g__Sarocladium;s__Sarocladium strictum
ASV819	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma
ASV820	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV821	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV822	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Thyrostroma;s__Thyrostroma cornicola
ASV823	k__Rhizaria;p__Cercozoa
ASV824	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
ASV826	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Dlhawksworthia;s__Dlhawksworthia lonicerae
ASV827	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__;g__Sarcinomyces;s__Sarcinomyces crustaceus
ASV828	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV829	k__Fungi;p__;c__;o__;f__;g__;s__
ASV830	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Ramalinaceae;g__Bacidina;s__Bacidina ramea
ASV831	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Aureoboletus;s__Aureoboletus mirabilis
ASV832	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma
ASV833	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
ASV834	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV835	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces
ASV836	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV837	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Toxicocladosporium;s__Toxicocladosporium velox
ASV838	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV839	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Sirobasidiaceae
ASV840	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV841	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV842	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Pseudotaeniolina;s__Pseudotaeniolina globosa
ASV843	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV844	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Devriesia
ASV845	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV846	k__Fungi;p__Ascomycota
ASV847	k__;p__;c__;o__;f__;g__;s__
ASV848	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV849	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV850	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV851	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV852	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phialophora;s__Phialophora intermedia
ASV853	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Trematosphaeriaceae;g__Trematosphaeria
ASV854	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula mucilaginosa
ASV855	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraloratospora;s__Paraloratospora gahniae
ASV856	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae
ASV857	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Foliophoma;s__Foliophoma camporesii
ASV858	k__;p__;c__;o__;f__;g__;s__
ASV859	k__Fungi;p__;c__;o__;f__;g__;s__
ASV860	k__;p__;c__;o__;f__;g__;s__
ASV861	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Devriesia
ASV862	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV863	k__;p__;c__;o__;f__;g__;s__
ASV865	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV866	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV867	k__;p__;c__;o__;f__;g__;s__
ASV868	k__Fungi;p__;c__;o__;f__;g__;s__
ASV869	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
ASV870	k__Fungi;p__;c__;o__;f__;g__;s__
ASV871	k__Fungi;p__Ascomycota;c__Dothideomycetes
ASV872	k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina inositophila
ASV873	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
ASV874	k__;p__;c__;o__;f__;g__;s__
ASV875	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV876	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Geotrichum
ASV877	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria rosae
ASV878	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Carbonea;s__Carbonea vorticosa
ASV879	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala
ASV880	k__Fungi;p__;c__;o__;f__;g__;s__
ASV881	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Crepidotaceae;g__Simocybe
ASV882	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Thyridariaceae;g__Parathyridaria;s__Parathyridaria tyrrhenica
ASV883	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV884	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV885	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus croceiaffinis
ASV886	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecideales;f__Lecideaceae;g__Lecidea
ASV887	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV888	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Podosporaceae;g__Podospora
ASV889	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma terrea
ASV890	k__;p__;c__;o__;f__;g__;s__
ASV892	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV893	k__;p__;c__;o__;f__;g__;s__
ASV895	k__Fungi;p__Ascomycota
ASV896	k__Fungi;p__;c__;o__;f__;g__;s__
ASV897	k__;p__;c__;o__;f__;g__;s__
ASV898	k__;p__;c__;o__;f__;g__;s__
ASV899	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellaceae;g__Craterellus;s__Craterellus tubaeformis
ASV900	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV901	k__Fungi;p__Ascomycota;c__Dothideomycetes
ASV902	k__Fungi;p__;c__;o__;f__;g__;s__
ASV903	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
ASV904	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__;g__Sistotremastrum;s__Sistotremastrum guttuliferum
ASV905	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV906	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Geotrichum;s__Geotrichum candidum
ASV907	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Tremella
ASV908	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria chlamydosporigena
ASV909	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Devriesia
ASV910	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
ASV911	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Irpicaceae
ASV912	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma
ASV913	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma citrinoviride
ASV914	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
ASV915	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__Entoloma halophilum
ASV916	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV917	k__Fungi;p__Ascomycota
ASV918	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae
ASV919	k__Fungi;p__Ascomycota
ASV920	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Chaetosphaeronema
ASV922	k__;p__;c__;o__;f__;g__;s__
ASV923	k__Fungi;p__;c__;o__;f__;g__;s__
ASV924	k__;p__;c__;o__;f__;g__;s__
ASV925	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV926	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae
ASV927	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
ASV928	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
ASV929	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Neocucurbitaria;s__Neocucurbitaria unguis-hominis
ASV930	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Oedocephalum
ASV931	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pyrenophora;s__Pyrenophora lolii
ASV932	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV933	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Mycocentrospora
ASV934	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
ASV935	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
ASV936	k__Fungi;p__Ascomycota
ASV937	k__;p__;c__;o__;f__;g__;s__
ASV938	k__Fungi;p__Ascomycota
ASV939	k__Fungi;p__;c__;o__;f__;g__;s__
ASV940	k__Fungi;p__Basidiomycota;c__Tremellomycetes
ASV941	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV942	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
ASV943	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV944	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales
ASV945	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV946	k__;p__;c__;o__;f__;g__;s__
ASV947	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium floriforme
ASV948	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV949	k__Fungi;p__;c__;o__;f__;g__;s__
ASV950	k__Fungi;p__Ascomycota;c__Sordariomycetes
ASV951	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae
ASV952	k__Fungi;p__;c__;o__;f__;g__;s__
ASV953	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae
ASV954	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV955	k__Fungi;p__Ascomycota
ASV956	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
ASV957	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae
ASV958	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV959	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
ASV960	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV961	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae
ASV962	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
ASV963	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Phoma
ASV964	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV965	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema
ASV966	k__Fungi;p__Ascomycota
ASV967	k__;p__;c__;o__;f__;g__;s__
ASV969	k__Fungi;p__;c__;o__;f__;g__;s__
ASV970	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Querciphoma;s__Querciphoma carteri
ASV971	k__;p__;c__;o__;f__;g__;s__
ASV972	k__;p__;c__;o__;f__;g__;s__
ASV973	k__;p__;c__;o__;f__;g__;s__
ASV974	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium
ASV975	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecideales;f__Lecideaceae;g__Lecidea;s__Lecidea cancriformis
ASV976	k__Fungi;p__;c__;o__;f__;g__;s__
ASV977	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
ASV978	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV979	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__Entoloma halophilum
ASV980	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Planistromellaceae;g__Ramimonilia
ASV981	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales
ASV982	k__Fungi;p__;c__;o__;f__;g__;s__
ASV983	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales
ASV984	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV985	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala
ASV986	k__;p__;c__;o__;f__;g__;s__
ASV987	k__Fungi;p__Ascomycota
ASV988	k__;p__;c__;o__;f__;g__;s__
ASV989	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Oedocephalum
ASV990	k__;p__;c__;o__;f__;g__;s__
ASV991	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Podosporaceae
ASV992	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Clarireedia;s__Clarireedia bennettii
ASV994	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV995	k__Fungi;p__Ascomycota
ASV996	k__;p__;c__;o__;f__;g__;s__
ASV997	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium
ASV998	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Thyrostroma;s__Thyrostroma cornicola
ASV999	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV1000	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora
ASV1001	k__Fungi;p__Ascomycota
ASV1002	k__;p__;c__;o__;f__;g__;s__
ASV1003	k__Fungi;p__Ascomycota
ASV1004	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV1005	k__;p__;c__;o__;f__;g__;s__
ASV1006	k__;p__;c__;o__;f__;g__;s__
ASV1007	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
ASV1008	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma
ASV1009	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia mellicola
ASV1010	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV1011	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV1012	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__Naganishia diffluens
ASV1013	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV1014	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma victoriae
ASV1015	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium
ASV1016	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Devriesia
ASV1017	k__Fungi;p__Ascomycota
ASV1018	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
ASV1019	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Bombardiaceae;g__Ramophialophora
ASV1020	k__Fungi;p__;c__;o__;f__;g__;s__
ASV1021	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae
ASV1022	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
ASV1023	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV1024	k__Fungi;p__Ascomycota
ASV1025	k__Fungi;p__;c__;o__;f__;g__;s__
ASV1026	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Thysanorea;s__Thysanorea aquatica
ASV1027	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV1028	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae
ASV1029	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV1030	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Bacillicladium;s__Bacillicladium clematidis
ASV1031	k__;p__;c__;o__;f__;g__;s__
ASV1032	k__;p__;c__;o__;f__;g__;s__
ASV1033	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__Stemphylium vesicarium
ASV1034	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
ASV1035	k__Fungi;p__;c__;o__;f__;g__;s__
ASV1036	k__;p__;c__;o__;f__;g__;s__
ASV1037	k__Fungi;p__Ascomycota
ASV1038	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV1039	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV1040	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae
ASV1041	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
ASV1042	k__;p__;c__;o__;f__;g__;s__
ASV1043	k__;p__;c__;o__;f__;g__;s__
ASV1044	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV1045	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium
ASV1046	k__;p__;c__;o__;f__;g__;s__
ASV1047	k__;p__;c__;o__;f__;g__;s__
ASV1048	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma carnescens
ASV1049	k__;p__;c__;o__;f__;g__;s__
ASV1050	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV1051	k__;p__;c__;o__;f__;g__;s__
ASV1052	k__Fungi;p__Basidiomycota;c__Agaricomycetes
ASV1053	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Ramalinaceae;g__Bacidina;s__Bacidina ramea
ASV1054	k__;p__;c__;o__;f__;g__;s__
ASV1056	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Bezerromycetales;f__Bezerromycetaceae;g__Bezerromyces
